Label,bridgingcentrality,betweenesscentrality,degree
BAKON_001,1.039714,4.029607,9
BAKON_002,6.294591,749.200623,73
BAKON_003,6.618783,622.48614,59
BAKON_004,6.876393,858.623188,75
BAKON_005,13.164271,428.758745,27
BAKON_006,16.224958,565.2262,37
BAKON_007,9.145698,988.675553,70
BAKON_008,6.622634,638.450356,71
BAKON_009,5.693857,458.613656,66
BAKON_010,2.162919,15.786618,13
BAKON_011,2.162919,15.786618,13
BAKON_012,2.162919,15.786618,13
BAKON_591,3.730458,263.615611,65
BAKON_587,4.579301,362.230156,66
BAKON_586,5.927482,525.710118,67
BAKON_570,9.999098,1268.418216,67
BAKON_564,11.087278,1238.026184,63
BAKON_554,4.571079,371.010497,64
BAKON_553,7.154845,744.928488,65
BAKON_535,7.668918,830.264721,76
BAKON_531,4.407611,420.02145,74
BAKON_529,3.605689,318.261035,74
BAKON_528,3.255908,269.478228,73
BAKON_526,2.758468,221.527517,73
BAKON_524,2.500357,200.038578,73
BAKON_522,2.427521,194.986223,72
BAKON_518,2.264151,182.499371,72
BAKON_513,2.248309,180.446695,72
BAKON_512,2.133868,166.195538,71
BAKON_511,2.767775,241.482899,73
BAKON_510,2.882076,253.222664,73
BAKON_505,2.958274,241.844127,70
BAKON_504,2.837109,224.506388,69
BAKON_503,2.657655,197.707793,68
BAKON_487,9.171466,777.171307,68
BAKON_470,10.832004,1162.198297,74
BAKON_466,10.605865,1216.497582,73
BAKON_452,8.570771,816.420672,65
BAKON_391,8.011128,723.294544,72
BAKON_390,7.293376,641.62926,71
BAKON_385,5.183732,523.542345,69
BAKON_375,6.013788,571.997042,71
BAKON_374,5.84057,537.131919,70
BAKON_344,0,0,60
BAKON_260,4.636461,369.928105,65
BAKON_258,5.852683,522.525313,66
BAKON_253,11.36339,1303.176672,68
BAKON_212,12.954295,1328.367641,70
BAKON_196,12.208002,1281.113149,72
BAKON_173,11.462078,1195.632446,70
BAKON_169,0,0,60
BAKON_160,7.160795,855.849257,71
BAKON_153,6.820908,952.85539,77
BAKON_152,6.916409,920.012247,77
BAKON_150,6.383244,800.27431,75
BAKON_133,4.331408,422.049869,69
BAKON_130,4.331408,422.049869,69
BAKON_127,3.528558,312.126347,68
BAKON_123,3.247723,277.130914,67
BAKON_122,2.838933,224.177483,66
BAKON_098,8.020718,569.869374,64
BAKON_083,8.656295,1425.778639,78
BAKON_082,8.077482,1294.988652,77
BAKON_055,12.34199,1430.419778,76
BAKON_040,1.704783,103.239852,64
BAKON_039,2.938697,249.225611,69
BAKON_037,3.549163,336.185813,71
BAKON_035,4.825769,570.330097,76
BAKON_034,4.458321,511.112607,75
BAKON_021,7.290476,757.625731,73
BAKON_013,5.608865,427.454137,55
BAKON_611,6.143617,462.681392,55
BAKON_604,11.466546,1093.042373,49
BAKON_585,11.195756,956.363569,56
BAKON_571,9.198809,709.098952,51
BAKON_545,4.379603,274.773072,54
BAKON_534,4.641405,361.639253,61
BAKON_533,4.641405,361.639253,61
BAKON_530,3.656835,252.713717,59
BAKON_525,2.289381,126.888715,56
BAKON_523,2.404044,142.97851,57
BAKON_521,2.175071,132.096163,58
BAKON_520,2.158014,131.083466,58
BAKON_519,2.538102,161.151382,59
BAKON_517,2.371978,141.738914,57
BAKON_516,2.2557,129.754698,56
BAKON_508,3.926994,280.042313,60
BAKON_507,3.882982,269.042064,59
BAKON_506,3.882982,269.042064,59
BAKON_494,2.215242,97.610248,47
BAKON_493,5.389965,333.632473,50
BAKON_407,5.825523,359.816626,53
BAKON_400,10.816399,1162.552484,62
BAKON_393,7.620765,543.538941,58
BAKON_377,10.207019,668.068231,55
BAKON_351,0,0,45
BAKON_328,2.099911,91.40423,47
BAKON_327,6.925619,608.86344,52
BAKON_324,5.352144,393.140495,51
BAKON_317,12.871739,1493.59251,62
BAKON_276,14.62667,1451.207499,61
BAKON_226,0,0,45
BAKON_199,5.73212,373.811506,52
BAKON_188,12.380259,1506.081633,65
BAKON_162,11.169239,645.443193,54
BAKON_126,8.020616,676.724616,58
BAKON_125,6.905705,554.599166,57
BAKON_085,5.832142,325.612333,52
BAKON_084,9.991653,997.740425,59
BAKON_065,3.859563,241.901993,53
BAKON_059,6.642578,599.349103,59
BAKON_057,7.938478,801.26447,61
BAKON_032,10.682215,951.444038,62
BAKON_019,2.601469,106.906114,48
BAKON_018,6.278407,502.440793,55
BAKON_014,3.679138,269.33207,63
BAKON_509,12.05185,462.586146,35
BAKON_499,11.601209,434.669707,29
BAKON_455,5.46901,133.540007,20
BAKON_424,6.545133,76.584884,17
BAKON_396,13.709044,255.789703,22
BAKON_383,12.543915,478.110074,29
BAKON_311,13.811251,280.442469,21
BAKON_255,11.898358,285.20504,23
BAKON_249,0,0,16
BAKON_193,15.31963,501.432889,28
BAKON_161,10.534759,322.952742,27
BAKON_157,10.985306,353.745503,28
BAKON_137,8.56175,204.697497,22
BAKON_111,28.801974,932.21042,19
BAKON_033,8.853786,393.260062,33
BAKON_026,9.763654,361.170381,30
BAKON_568,8.814047,387.191939,35
BAKON_556,7.867452,275.094687,34
BAKON_464,8.483225,356.017487,35
BAKON_446,9.378549,444,32
BAKON_443,9.378549,444,32
BAKON_429,5.413464,231.916588,33
BAKON_423,1.222374,32.067378,31
BAKON_405,7.078175,347.209392,39
BAKON_398,11.266024,755.236973,46
BAKON_378,6.452223,276.037028,38
BAKON_376,8.715864,436.679301,40
BAKON_362,10.359806,540.139919,35
BAKON_340,0,0,30
BAKON_319,12.772571,575.019903,38
BAKON_271,13.856117,677.150835,40
