Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,9,4.029607,1.039714
BAKON_002,73,749.200623,6.294591
BAKON_003,59,622.48614,6.618783
BAKON_004,75,858.623188,6.876393
BAKON_005,27,428.758745,13.164271
BAKON_006,37,565.2262,16.224958
BAKON_007,70,988.675553,9.145698
BAKON_008,71,638.450356,6.622634
BAKON_009,66,458.613656,5.693857
BAKON_010,13,15.786618,2.162919
BAKON_011,13,15.786618,2.162919
BAKON_012,13,15.786618,2.162919
BAKON_591,65,263.615611,3.730458
BAKON_587,66,362.230156,4.579301
BAKON_586,67,525.710118,5.927482
BAKON_570,67,1268.418216,9.999098
BAKON_564,63,1238.026184,11.087278
BAKON_554,64,371.010497,4.571079
BAKON_553,65,744.928488,7.154845
BAKON_535,76,830.264721,7.668918
BAKON_531,74,420.02145,4.407611
BAKON_529,74,318.261035,3.605689
BAKON_528,73,269.478228,3.255908
BAKON_526,73,221.527517,2.758468
BAKON_524,73,200.038578,2.500357
BAKON_522,72,194.986223,2.427521
BAKON_518,72,182.499371,2.264151
BAKON_513,72,180.446695,2.248309
BAKON_512,71,166.195538,2.133868
BAKON_511,73,241.482899,2.767775
BAKON_510,73,253.222664,2.882076
BAKON_505,70,241.844127,2.958274
BAKON_504,69,224.506388,2.837109
BAKON_503,68,197.707793,2.657655
BAKON_487,68,777.171307,9.171466
BAKON_470,74,1162.198297,10.832004
BAKON_466,73,1216.497582,10.605865
BAKON_452,65,816.420672,8.570771
BAKON_391,72,723.294544,8.011128
BAKON_390,71,641.62926,7.293376
BAKON_385,69,523.542345,5.183732
BAKON_375,71,571.997042,6.013788
BAKON_374,70,537.131919,5.84057
BAKON_344,60,0,0
BAKON_260,65,369.928105,4.636461
BAKON_258,66,522.525313,5.852683
BAKON_253,68,1303.176672,11.36339
BAKON_212,70,1328.367641,12.954295
BAKON_196,72,1281.113149,12.208002
BAKON_173,70,1195.632446,11.462078
BAKON_169,60,0,0
BAKON_160,71,855.849257,7.160795
BAKON_153,77,952.85539,6.820908
BAKON_152,77,920.012247,6.916409
BAKON_150,75,800.27431,6.383244
BAKON_133,69,422.049869,4.331408
BAKON_130,69,422.049869,4.331408
BAKON_127,68,312.126347,3.528558
BAKON_123,67,277.130914,3.247723
BAKON_122,66,224.177483,2.838933
BAKON_098,64,569.869374,8.020718
BAKON_083,78,1425.778639,8.656295
BAKON_082,77,1294.988652,8.077482
BAKON_055,76,1430.419778,12.34199
BAKON_040,64,103.239852,1.704783
BAKON_039,69,249.225611,2.938697
BAKON_037,71,336.185813,3.549163
BAKON_035,76,570.330097,4.825769
BAKON_034,75,511.112607,4.458321
BAKON_021,73,757.625731,7.290476
BAKON_013,55,427.454137,5.608865
BAKON_611,55,462.681392,6.143617
BAKON_604,49,1093.042373,11.466546
BAKON_585,56,956.363569,11.195756
BAKON_571,51,709.098952,9.198809
BAKON_545,54,274.773072,4.379603
BAKON_534,61,361.639253,4.641405
BAKON_533,61,361.639253,4.641405
BAKON_530,59,252.713717,3.656835
BAKON_525,56,126.888715,2.289381
BAKON_523,57,142.97851,2.404044
BAKON_521,58,132.096163,2.175071
BAKON_520,58,131.083466,2.158014
BAKON_519,59,161.151382,2.538102
BAKON_517,57,141.738914,2.371978
BAKON_516,56,129.754698,2.2557
BAKON_508,60,280.042313,3.926994
BAKON_507,59,269.042064,3.882982
BAKON_506,59,269.042064,3.882982
BAKON_494,47,97.610248,2.215242
BAKON_493,50,333.632473,5.389965
BAKON_407,53,359.816626,5.825523
BAKON_400,62,1162.552484,10.816399
BAKON_393,58,543.538941,7.620765
BAKON_377,55,668.068231,10.207019
BAKON_351,45,0,0
BAKON_328,47,91.40423,2.099911
BAKON_327,52,608.86344,6.925619
BAKON_324,51,393.140495,5.352144
BAKON_317,62,1493.59251,12.871739
BAKON_276,61,1451.207499,14.62667
BAKON_226,45,0,0
BAKON_199,52,373.811506,5.73212
BAKON_188,65,1506.081633,12.380259
BAKON_162,54,645.443193,11.169239
BAKON_126,58,676.724616,8.020616
BAKON_125,57,554.599166,6.905705
BAKON_085,52,325.612333,5.832142
BAKON_084,59,997.740425,9.991653
BAKON_065,53,241.901993,3.859563
BAKON_059,59,599.349103,6.642578
BAKON_057,61,801.26447,7.938478
BAKON_032,62,951.444038,10.682215
BAKON_019,48,106.906114,2.601469
BAKON_018,55,502.440793,6.278407
BAKON_014,63,269.33207,3.679138
BAKON_509,35,462.586146,12.05185
BAKON_499,29,434.669707,11.601209
BAKON_455,20,133.540007,5.46901
BAKON_424,17,76.584884,6.545133
BAKON_396,22,255.789703,13.709044
BAKON_383,29,478.110074,12.543915
BAKON_311,21,280.442469,13.811251
BAKON_255,23,285.20504,11.898358
BAKON_249,16,0,0
BAKON_193,28,501.432889,15.31963
BAKON_161,27,322.952742,10.534759
BAKON_157,28,353.745503,10.985306
BAKON_137,22,204.697497,8.56175
BAKON_111,19,932.21042,28.801974
BAKON_033,33,393.260062,8.853786
BAKON_026,30,361.170381,9.763654
BAKON_568,35,387.191939,8.814047
BAKON_556,34,275.094687,7.867452
BAKON_464,35,356.017487,8.483225
BAKON_446,32,444,9.378549
BAKON_443,32,444,9.378549
BAKON_429,33,231.916588,5.413464
BAKON_423,31,32.067378,1.222374
BAKON_405,39,347.209392,7.078175
BAKON_398,46,755.236973,11.266024
BAKON_378,38,276.037028,6.452223
BAKON_376,40,436.679301,8.715864
BAKON_362,35,540.139919,10.359806
BAKON_340,30,0,0
BAKON_319,38,575.019903,12.772571
BAKON_271,40,677.150835,13.856117
BAKON_267,32,80.609636,2.71333
BAKON_239,30,0,0
BAKON_211,41,719.036604,10.519801
BAKON_194,39,410.257576,8.383417
BAKON_185,47,953.28437,12.408459
BAKON_156,35,239.96511,7.581917
BAKON_155,41,643.508805,14.203662
BAKON_140,35,355.800549,8.002495
BAKON_103,30,0,0
BAKON_095,36,687.456035,11.998101
BAKON_080,45,778.782181,9.684035
BAKON_074,39,393.246478,7.286285
BAKON_053,43,517.838502,8.480681
BAKON_052,42,417.888574,7.126226
BAKON_036,50,1059.561622,13.5805
BAKON_015,8,4.137675,1.179873
BAKON_016,7,0,0
BAKON_612,62,492.625352,6.872597
BAKON_594,62,348.565595,4.255406
BAKON_588,63,330.971592,4.646024
BAKON_584,65,509.706211,5.734893
BAKON_551,62,663.660775,8.155892
BAKON_537,74,1464.076934,14.372727
BAKON_501,69,1063.554579,13.057326
BAKON_488,63,362.483886,4.64473
BAKON_483,67,506.661359,4.941852
BAKON_479,61,110.595677,1.719332
BAKON_476,67,330.680133,3.327676
BAKON_475,67,330.680133,3.327676
BAKON_474,69,454.221517,3.952696
BAKON_472,67,330.680133,3.327676
BAKON_471,67,330.680133,3.327676
BAKON_465,66,565.341757,5.571143
BAKON_451,61,608.358499,6.90973
BAKON_441,57,0,0
BAKON_436,59,444,4.851327
BAKON_433,59,444,4.851327
BAKON_427,59,195.685181,2.963917
BAKON_425,60,415.127925,5.052771
BAKON_401,68,684.694368,7.755656
BAKON_394,70,909.103608,9.561767
BAKON_372,67,945.595053,11.151815
BAKON_363,57,0,0
BAKON_358,63,1209.917926,11.921307
BAKON_325,67,1210.448444,9.89771
BAKON_320,63,256.2117,3.325867
BAKON_315,67,501.771659,4.963635
BAKON_313,67,501.771659,4.963635
BAKON_306,65,509.539167,5.402472
BAKON_289,57,0,0
BAKON_278,60,96.280559,1.604092
BAKON_277,63,252.895161,3.401862
BAKON_273,69,832.922672,6.843462
BAKON_272,68,597.646449,5.422402
BAKON_269,65,343.238036,3.794606
BAKON_265,64,340.195694,4.189548
BAKON_234,63,1035.962479,9.950392
BAKON_210,64,492.84526,6.137404
BAKON_208,66,788.071702,8.082019
BAKON_191,65,1119.193379,14.358093
BAKON_174,58,132.137984,2.535503
BAKON_159,70,1155.873915,11.638271
BAKON_143,71,1272.426104,9.205286
BAKON_138,61,312.136874,3.824192
BAKON_117,57,0,0
BAKON_104,60,602.557767,6.341046
BAKON_064,69,1068.514878,10.290954
BAKON_050,62,250.703269,3.437169
BAKON_048,73,988.746488,8.542495
BAKON_029,74,1056.329409,9.334141
BAKON_022,63,285.875204,3.981831
BAKON_020,67,531.738009,5.82371
BAKON_023,12,9.125611,1.600397
BAKON_024,11,1.4609,0.295514
BAKON_025,37,533.66506,10.995673
BAKON_027,15,13.953675,1.689176
BAKON_028,15,13.953675,1.689176
BAKON_030,18,33.268902,3.0092
BAKON_031,17,30.645715,3.024576
BAKON_572,26,236.192648,9.296474
BAKON_544,34,383.762687,8.824867
BAKON_536,40,575.540537,10.459553
BAKON_532,41,540.184681,10.892205
BAKON_422,29,488.670913,12.736221
BAKON_411,27,178.563608,6.439072
BAKON_397,38,529.538202,10.86718
BAKON_387,29,267.396592,8.295211
BAKON_373,33,357.485831,9.20566
BAKON_359,26,374.209497,12.112168
BAKON_323,26,207.52106,7.654687
BAKON_310,36,662.763335,12.892742
BAKON_300,22,0,0
BAKON_232,28,547.321864,13.352411
BAKON_209,32,450.787423,9.209494
BAKON_205,31,273.678441,6.904579
BAKON_189,42,1034.745471,14.347991
BAKON_154,36,648.39621,14.16581
BAKON_112,23,200.861638,11.465435
BAKON_094,34,881.259874,14.696915
BAKON_072,22,0,0
BAKON_049,38,654.441533,12.153843
BAKON_038,42,616.744026,11.6101
BAKON_045,13,10.886623,2.267709
BAKON_046,13,10.886623,2.267709
BAKON_047,11,6.312034,1.767355
BAKON_614,31,88.197593,3.26349
BAKON_610,34,283.184661,6.959008
BAKON_605,30,189.032025,7.27686
BAKON_599,29,72.648425,2.966929
BAKON_542,43,1035.564328,14.163548
BAKON_527,48,484.672525,9.314277
BAKON_515,48,491.195763,9.111353
BAKON_500,39,319.572388,8.019208
BAKON_491,38,525.749867,9.843172
BAKON_489,33,166.908786,5.183015
BAKON_478,39,619.206995,13.832656
BAKON_403,42,764.122865,13.621355
BAKON_386,39,567.140246,10.587898
BAKON_301,28,0,0
BAKON_283,35,299.229311,7.43623
BAKON_275,45,1283.202155,15.479496
BAKON_256,36,726.851247,15.963594
BAKON_235,32,448.72516,13.365517
BAKON_182,45,915.314633,12.044223
BAKON_178,41,537.375154,8.62054
BAKON_151,46,863.890522,11.630632
BAKON_142,41,703.567457,9.612126
BAKON_135,37,499.639159,12.040929
BAKON_107,31,441.27638,9.955011
BAKON_096,33,486.556661,12.410809
BAKON_087,34,178.425582,5.763337
BAKON_081,44,913.150313,11.351645
BAKON_063,43,1063.922078,13.802356
BAKON_051,10,0.1,0.030954
BAKON_054,14,12.448683,1.546712
BAKON_056,16,16.376221,1.658369
BAKON_058,18,55.756285,3.708616
BAKON_060,15,26.450084,2.577563
BAKON_061,15,26.450084,2.577563
BAKON_062,15,26.450084,2.577563
BAKON_066,10,50.882215,6.598729
BAKON_067,9,39.555639,5.915058
BAKON_070,3,0,0
BAKON_075,10,0,0
BAKON_076,10,0,0
BAKON_077,10,0,0
BAKON_078,10,0,0
BAKON_079,10,0,0
BAKON_086,13,40.666214,4.626691
BAKON_088,12,35.483342,4.61812
BAKON_090,11,22.812194,3.380416
BAKON_091,10,10.553975,1.796588
BAKON_092,9,4.29462,0.861161
BAKON_093,8,0.419166,0.101249
BAKON_097,6,90.75314,23.76542
BAKON_099,5,30.273963,10.30616
BAKON_100,3,0,0
BAKON_105,3,0,0
BAKON_106,3,0,0
BAKON_113,2,0,0
BAKON_114,2,0,0
BAKON_124,11,0.1,0.022741
BAKON_128,14,16.65313,1.97319
BAKON_129,14,16.65313,1.97319
BAKON_132,14,16.65313,1.97319
BAKON_134,13,15.065637,1.990581
BAKON_136,9,2.308767,0.640629
BAKON_139,5,0,0
BAKON_141,5,0,0
BAKON_144,11,0.134483,0.022065
BAKON_145,11,0.134483,0.022065
BAKON_146,11,0.134483,0.022065
BAKON_147,11,0.134483,0.022065
BAKON_148,11,0.134483,0.022065
BAKON_149,11,0.134483,0.022065
BAKON_158,13,24.438589,4.008591
BAKON_163,9,40.187627,6.594314
BAKON_164,8,37.735326,7.253816
BAKON_165,3,0,0
BAKON_175,9,0,0
BAKON_176,9,0,0
BAKON_177,13,24.998218,2.701346
BAKON_179,14,35.201892,3.392598
BAKON_180,14,35.201892,3.392598
BAKON_181,14,35.201892,3.392598
BAKON_183,18,127.373739,7.664553
BAKON_184,15,44.189626,4.360315
BAKON_186,18,69.412088,4.801093
BAKON_190,19,384.098054,17.723036
BAKON_192,16,122.865061,8.574104
BAKON_195,13,81.697867,8.530034
BAKON_197,10,57.644387,9.589488
BAKON_198,9,46.918714,9.237211
BAKON_200,5,0,0
BAKON_450,7,41.321187,9.655997
BAKON_307,13,70.574209,7.288551
BAKON_206,10,2.004189,0.384055
BAKON_207,10,2.004189,0.384055
BAKON_213,15,158.77277,11.993055
BAKON_214,9,36.601332,5.994303
BAKON_215,9,36.601332,5.994303
BAKON_216,4,0,0
BAKON_598,10,112.786083,18.657373
BAKON_462,12,116.900401,11.303837
BAKON_402,22,256.869691,10.00627
BAKON_392,20,327.121265,17.768313
BAKON_381,16,183.852912,13.506992
BAKON_355,8,34.663954,7.030796
BAKON_231,12,113.0021,9.584976
BAKON_233,6,24.00381,6.492739
BAKON_236,5,1.547498,0.561107
BAKON_237,4,0,0
BAKON_254,10,30.590103,3.947969
BAKON_257,10,30.590103,3.947969
BAKON_259,10,30.590103,3.947969
BAKON_261,8,18.208673,3.294049
BAKON_262,6,0,0
BAKON_263,6,0,0
BAKON_266,10,6.985011,2.035805
BAKON_268,9,0,0
BAKON_270,13,9.388718,1.385345
BAKON_279,13,45.884832,4.462128
BAKON_280,13,45.884832,4.462128
BAKON_281,10,31.054603,4.706985
BAKON_282,10,31.054603,4.706985
BAKON_284,7,5.956781,1.527147
BAKON_285,6,0,0
BAKON_308,11,13.555658,2.301865
BAKON_309,11,13.555658,2.301865
BAKON_312,13,12.731928,1.615022
BAKON_314,13,12.731928,1.615022
BAKON_316,13,12.731928,1.615022
BAKON_318,16,72.27502,5.725635
BAKON_321,8,7.113201,2.246154
BAKON_322,8,7.113201,2.246154
BAKON_326,10,8.736079,1.023356
BAKON_329,5,0.25,0.123835
BAKON_334,4,0,0
BAKON_354,8,174.076401,21.951863
BAKON_356,6,6.53606,1.895919
BAKON_357,6,6.53606,1.895919
BAKON_361,5,0,0
BAKON_561,4,65.002676,20.123678
BAKON_379,13,23.711225,4.070887
BAKON_380,13,23.711225,4.070887
BAKON_384,11,17.377863,2.890142
BAKON_388,5,0,0
BAKON_395,14,28.373352,4.728586
BAKON_399,17,63.016173,5.944326
BAKON_404,15,93.382599,7.708927
BAKON_406,12,32.855379,3.965258
BAKON_410,10,27.66029,4.400064
BAKON_413,4,0,0
BAKON_426,5,4.681838,2.68761
BAKON_428,4,2.083948,1.851065
BAKON_434,3,0,0
BAKON_435,3,0,0
BAKON_444,3,0,0
BAKON_445,3,0,0
BAKON_453,5,4.618004,2.175045
BAKON_454,5,4.618004,2.175045
BAKON_463,5,0,0
BAKON_467,14,38.447158,4.104331
BAKON_468,11,0,0
BAKON_469,11,0,0
BAKON_473,17,20.502014,1.831577
BAKON_477,14,6.80788,0.891326
BAKON_480,13,6.096769,0.895555
BAKON_481,12,2.15,0.355663
BAKON_484,11,12.11869,2.043173
BAKON_486,11,12.11869,2.043173
BAKON_492,10,78.554317,13.557929
