Label,degree,betweenesscentrality,bridgingcentrality
BAKON_001,288,3.211579,0.011182
BAKON_014,290,36.108988,0.120996
BAKON_437,297,1228.597437,2.602124
BAKON_351,289,240.782761,0.719148
BAKON_377,294,340.513403,0.95435
BAKON_538,287,22.009938,0.07628
BAKON_512,292,131.008632,0.410658
BAKON_139,293,259.087281,0.738247
BAKON_398,296,521.869133,1.369113
BAKON_199,297,664.659825,1.642516
BAKON_082,298,666.00834,1.584527
BAKON_462,293,788.810085,2.047902
BAKON_344,294,898.679792,2.190253
BAKON_582,288,133.477691,0.417052
BAKON_413,285,64.630928,0.218593
BAKON_526,290,43.955738,0.147151
BAKON_319,296,1158.254608,2.305619
BAKON_445,154,0.177746,0.002182
BAKON_373,295,607.225812,1.405537
BAKON_486,289,250.831411,0.74201
BAKON_032,295,231.534906,0.638939
BAKON_533,293,167.144086,0.503094
BAKON_112,287,1.980552,0.00697
BAKON_577,295,586.362345,1.475524
BAKON_422,293,782.112017,1.955699
BAKON_190,295,284.216068,0.797888
BAKON_450,292,686.165882,1.444362
BAKON_328,289,280.567407,0.788625
BAKON_144,290,55.885545,0.186831
BAKON_530,292,115.511505,0.357895
BAKON_504,294,146.342603,0.450198
BAKON_272,295,319.013624,0.826353
BAKON_203,290,90.542159,0.279218
BAKON_235,296,1138.320905,2.349895
BAKON_520,283,66.315668,0.23134
BAKON_604,291,489.987744,1.27709
BAKON_455,290,92.339435,0.304106
BAKON_551,294,484.124279,1.322011
BAKON_356,292,520.182683,1.560349
BAKON_058,292,155.770887,0.485753
BAKON_394,296,355.813141,1.001148
BAKON_111,292,1264.270984,3.316315
BAKON_554,295,617.750669,1.608154
BAKON_345,288,87.265444,0.293841
BAKON_465,292,448.127056,1.221736
BAKON_537,294,426.051342,1.177748
BAKON_213,287,118.422255,0.398743
BAKON_569,295,493.414003,1.290054
BAKON_260,295,460.281658,1.23535
BAKON_261,295,355.490198,0.984435
BAKON_254,291,109.380096,0.353061
BAKON_506,289,108.434923,0.35105
BAKON_489,292,293.711579,0.856268
BAKON_289,295,1389.50806,3.6728
BAKON_407,291,80.926821,0.262411
BAKON_052,291,102.611646,0.331136
BAKON_145,289,54.651347,0.18443
BAKON_541,289,61.018935,0.200454
BAKON_130,296,658.365662,1.618924
BAKON_359,291,181.700671,0.584439
BAKON_425,293,603.463534,1.686619
BAKON_521,290,69.559639,0.230547
BAKON_085,300,678.737841,1.567594
BAKON_614,291,180.168871,0.561151
BAKON_527,289,43.302297,0.146139
BAKON_337,295,1058.045293,2.476209
BAKON_494,291,89.300285,0.293286
BAKON_357,288,59.730446,0.203642
BAKON_386,294,356.664371,0.991686
BAKON_103,290,108.852433,0.35563
BAKON_205,295,651.019182,1.680707
BAKON_442,293,629.181049,1.663833
BAKON_393,294,330.145071,0.954421
BAKON_152,294,332.720774,0.940774
BAKON_267,292,151.416493,0.465867
BAKON_009,285,220.16025,0.688414
BAKON_087,299,673.080055,1.566122
BAKON_256,293,519.38372,1.414099
BAKON_284,292,329.732654,0.872594
BAKON_326,292,427.423304,1.128189
BAKON_591,292,361.57497,1.068511
BAKON_598,290,162.149405,0.529416
BAKON_051,290,33.468535,0.112369
BAKON_063,294,473.172519,1.226545
BAKON_233,290,163.061555,0.523596
BAKON_123,293,328.657602,0.921386
BAKON_276,295,551.340601,1.235844
BAKON_226,292,525.3375,1.558599
BAKON_045,164,87.509737,0.838193
BAKON_452,293,692.060612,1.446909
BAKON_146,289,54.523398,0.184069
BAKON_589,287,84.811533,0.277672
BAKON_127,297,667.482046,1.627872
BAKON_169,297,852.378995,2.092954
BAKON_211,293,447.36548,1.267072
BAKON_182,292,719.535543,1.889693
BAKON_196,292,475.050452,1.257421
BAKON_431,287,483.012474,1.310052
BAKON_320,290,342.078126,1.044862
BAKON_429,287,107.409899,0.341467
BAKON_040,290,117.841129,0.365693
BAKON_019,292,152.46739,0.46708
BAKON_571,296,684.977561,1.672012
BAKON_035,294,263.604332,0.721829
BAKON_054,289,33.041655,0.111735
BAKON_036,296,384.459198,1.011503
BAKON_141,290,91.667878,0.295612
BAKON_098,294,855.44141,2.010204
BAKON_004,293,231.592203,0.683244
BAKON_435,293,823.867173,1.981664
BAKON_519,293,105.371915,0.330851
BAKON_156,298,961.377564,2.294379
BAKON_008,294,600.261515,1.570088
BAKON_584,289,172.107007,0.527442
BAKON_499,292,265.907274,0.806375
BAKON_028,295,270.01867,0.738495
BAKON_278,293,192.79533,0.534553
BAKON_277,287,98.00808,0.322788
BAKON_049,292,169.658066,0.538869
BAKON_160,294,552.729691,1.423658
BAKON_528,291,44.234619,0.147037
BAKON_077,290,104.83094,0.350093
BAKON_534,292,164.96383,0.500835
BAKON_104,293,519.079997,1.310984
BAKON_487,292,372.265529,1.056593
BAKON_464,292,358.264358,0.999326
BAKON_191,295,295.604893,0.806213
BAKON_572,297,690.875548,1.673604
BAKON_564,290,101.731924,0.330602
BAKON_125,297,501.59253,1.293392
BAKON_517,290,101.09851,0.325859
BAKON_355,292,715.958891,1.898972
BAKON_503,291,141.559364,0.446503
BAKON_507,291,109.915521,0.351037
BAKON_536,291,225.298299,0.663564
BAKON_414,289,65.951063,0.216984
BAKON_022,291,232.563013,0.664202
BAKON_379,293,202.147437,0.590596
BAKON_053,289,100.592843,0.330053
BAKON_301,296,1633.764888,3.7874
BAKON_338,170,383.620237,2.540227
BAKON_523,288,62.835007,0.21202
BAKON_181,293,257.374774,0.727756
BAKON_559,290,220.516013,0.683765
BAKON_237,292,322.49551,0.874814
