Label,betweenesscentrality,degree,bridgingcentrality
BAKON_001,20.395143,14,2.172989
BAKON_579,32.900706,14,3.151757
BAKON_574,26.271897,15,2.37512
BAKON_469,42.104197,14,3.853366
BAKON_439,20.227359,12,2.523284
BAKON_431,119.463462,16,6.786234
BAKON_215,68.304767,15,5.869478
BAKON_145,36.174102,13,4.024202
BAKON_137,28.492908,14,2.804394
BAKON_076,36.900632,12,4.50556
BAKON_002,231.677544,300,0.665341
BAKON_003,233.367583,300,0.669698
BAKON_004,235.976258,303,0.664032
BAKON_005,372.640022,303,1.016936
BAKON_006,130.732343,26,6.427793
BAKON_007,168.838253,37,4.188559
BAKON_008,617.967805,305,1.433178
BAKON_009,236.221791,302,0.668036
BAKON_010,10.058504,16,1.618223
BAKON_011,411.605371,56,5.885262
BAKON_012,65.212066,30,2.625643
BAKON_047,353.012935,236,1.553734
BAKON_517,108.655006,301,0.337673
BAKON_235,538.733088,304,1.205506
BAKON_553,663.444426,305,1.628456
BAKON_488,205.96868,300,0.600278
BAKON_113,3.616705,298,0.01219
BAKON_530,136.202485,302,0.40764
BAKON_181,235.179712,299,0.675987
BAKON_320,284.958766,302,0.841883
BAKON_150,230.945106,303,0.653353
BAKON_239,469.158264,303,1.078907
BAKON_064,141.805776,301,0.407658
BAKON_111,420.552451,298,1.269374
BAKON_205,809.040987,306,1.847369
BAKON_189,296.10119,303,0.799039
BAKON_151,232.428968,304,0.652653
BAKON_338,580.392873,300,1.620417
BAKON_248,65.364118,300,0.208471
BAKON_604,951.126589,301,2.031758
BAKON_557,43.199767,297,0.145072
BAKON_178,423.263762,302,1.116608
BAKON_063,269.140564,302,0.71805
BAKON_022,239.55563,302,0.672061
BAKON_230,303.554636,303,0.788935
BAKON_493,37.102379,295,0.12625
BAKON_326,397.463104,303,1.057263
BAKON_413,668.946814,302,1.889458
BAKON_234,1423.52759,303,2.564693
BAKON_028,216.226827,303,0.609529
BAKON_141,45.127489,299,0.149119
BAKON_591,593.221429,303,1.529911
BAKON_386,233.096616,303,0.687535
BAKON_515,142.198046,302,0.431751
BAKON_478,1230.677428,306,2.734804
BAKON_132,343.763827,305,0.90829
BAKON_162,139.60412,300,0.41747
BAKON_075,1068.846032,302,2.369111
BAKON_586,366.026338,301,1.002191
BAKON_356,247.464347,299,0.769809
BAKON_220,3.035842,297,0.010318
BAKON_402,744.361898,308,1.804728
BAKON_060,66.850527,301,0.209183
BAKON_314,286.935752,303,0.850463
BAKON_353,44.877766,282,0.165151
BAKON_508,143.682794,304,0.430387
BAKON_536,246.669561,304,0.690752
BAKON_174,406.330881,305,1.054933
BAKON_345,53.104179,298,0.17281
BAKON_038,252.55882,303,0.687294
BAKON_287,67.649433,300,0.217511
BAKON_551,657.946787,304,1.626678
BAKON_526,54.78177,299,0.177811
BAKON_312,104.948174,300,0.316679
BAKON_057,184.071607,302,0.511028
BAKON_037,254.050782,304,0.687114
BAKON_203,112.302832,300,0.331462
BAKON_610,390.77751,299,1.079803
BAKON_523,80.596473,300,0.256507
BAKON_377,325.766204,301,0.865187
BAKON_500,107.171493,302,0.332958
BAKON_499,104.797793,301,0.328537
BAKON_374,538.479708,305,1.275491
BAKON_450,600.843481,296,1.264586
BAKON_521,77.094286,301,0.24472
BAKON_522,80.673038,299,0.25828
BAKON_541,175.591816,300,0.522877
BAKON_308,217.390561,297,0.644186
BAKON_200,92.213177,300,0.281763
BAKON_193,215.336074,298,0.621426
BAKON_112,1.843148,297,0.006269
BAKON_032,247.738794,304,0.671452
BAKON_077,99.106495,300,0.320419
BAKON_260,431.649065,306,1.088144
BAKON_393,194.06041,303,0.562054
BAKON_023,36.586102,299,0.119018
BAKON_121,291.229345,304,0.783403
BAKON_160,766.141023,305,1.859655
BAKON_587,509.899149,293,1.402309
BAKON_212,1954.786402,308,3.937755
BAKON_264,40.595617,299,0.131356
BAKON_528,55.577054,300,0.178942
BAKON_567,337.227973,303,0.92139
BAKON_153,316.031864,305,0.852837
BAKON_563,73.346239,298,0.238934
BAKON_253,452.846438,303,1.202634
BAKON_173,402.757932,303,1.059733
BAKON_437,969.269827,302,2.324411
BAKON_520,77.781719,302,0.24516
BAKON_267,217.868883,304,0.598466
BAKON_381,141.511074,300,0.436578
BAKON_455,59.605608,299,0.191411
BAKON_400,528.854371,306,1.344931
BAKON_446,618.355126,302,1.442348
BAKON_107,354.974307,302,0.828989
BAKON_462,481.866461,298,1.394985
BAKON_611,394.230464,301,1.074516
BAKON_516,108.741634,301,0.337739
BAKON_169,3.553343,298,0.011979
BAKON_399,148.721955,300,0.452754
BAKON_443,688.10339,304,1.711043
BAKON_503,117.973978,302,0.363244
BAKON_029,212.709922,302,0.604737
BAKON_598,141.501505,298,0.451701
BAKON_130,848.547162,309,1.755576
BAKON_324,550.646957,305,1.399399
BAKON_035,287.973212,304,0.761076
BAKON_117,1.385461,297,0.004718
BAKON_527,49.517139,274,0.190909
BAKON_568,88.039194,297,0.276945
BAKON_065,28.627425,297,0.095332
BAKON_125,535.868915,307,1.19753
BAKON_021,241.796858,302,0.677303
BAKON_256,502.053392,305,1.279884
BAKON_510,137.33549,296,0.43453
BAKON_059,320.097312,302,0.844371
BAKON_328,256.093424,301,0.723054
BAKON_531,131.082978,299,0.401714
BAKON_337,1037.171121,303,2.603035
BAKON_429,198.034131,299,0.618029
BAKON_019,111.990482,301,0.342343
BAKON_034,290.249061,304,0.766362
BAKON_276,1171.0613,297,2.822747
BAKON_466,540.077242,306,1.371956
BAKON_423,3.877854,299,0.012974
BAKON_298,1.03564,295,0.003579
BAKON_584,316.005258,300,0.897758
BAKON_232,532.750865,303,1.201461
BAKON_465,469.356039,304,1.221951
BAKON_489,171.843566,300,0.506624
BAKON_558,159.961226,301,0.486512
BAKON_494,39.544938,298,0.131487
BAKON_341,53.104179,298,0.17281
BAKON_355,882.094237,304,2.186615
BAKON_533,175.489151,301,0.516849
BAKON_157,391.292696,301,1.006599
BAKON_614,328.901876,303,0.894466
BAKON_572,1435.375731,309,3.001518
