BASIC 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
ACID 0.00 0.00 0.00 1.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
POLAR 0.00 0.00 1.00 0.00 1.00 1.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 1.00 0.00
NONPOLAR 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 1.00 1.00 1.00 0.00 0.00 1.00 0.00 1.00
MASS 89.09 174.20 132.12 133.10 121.16 146.15 147.13 75.07 155.16 131.18 131.18 146.19 149.21 165.19 115.13 105.09 119.12 204.23 181.19 117.15
MASSMR 71.08 156.19 114.10 115.09 103.14 128.13 129.11 57.05 137.14 113.16 113.16 128.17 131.20 147.18 97.12 87.08 101.10 186.21 163.17 99.13
PARJ860101 2.10 4.20 7.00 10.00 1.40 6.00 7.80 5.70 2.10 -8.00 -9.20 5.70 -4.20 -9.20 2.10 6.50 5.20 -10.00 -1.90 -3.70
JOND750101 0.87 0.85 0.09 0.66 1.52 0.00 0.67 0.10 0.87 3.15 2.17 1.64 1.67 2.87 2.77 0.07 0.07 3.77 2.67 1.87
EISD840101 0.25 -1.76 -0.64 -0.72 0.04 -0.69 -0.62 0.16 -0.40 0.73 0.53 -1.10 0.26 0.61 -0.07 -0.26 -0.18 0.37 0.02 0.54
JURD980101 1.10 -5.10 -3.50 -3.60 2.50 -3.68 -3.20 -0.64 -3.20 4.50 3.80 -4.11 1.90 2.80 -1.90 -0.50 -0.70 -0.46 -1.30 4.20
